0-18090 press up
36460 steer -47924
36480 steer -46497
36480-39160 press up
36530 steer -32457
36540 steer -20083
36550 steer -1520
36560 steer 0
36840 steer -1520
36850 steer -6518
36860 steer -7945
36870 steer -15561
36890 steer -16512
36940 steer -17703
36950 steer -23890
36960 steer -19845
36970 steer -31028
36980 steer -35312
36990 steer -40786
37000 steer -41261
37010 steer -46259
37020 steer -49115
37030 steer -52922
37040 steer -53873
37060 steer -56491
37070 steer -62440
37080 steer -63153
37100 steer -63869
37110 steer -62915
37120 steer -62202
37130 steer -59346
37140 steer -63153
37170 steer -62202
37190 steer -46022
37200 steer -38644
37210 steer -21747
37220 steer 0
37240 steer 1525
37400 steer 0
37440 steer -2474
37450 steer -6756
37460 steer -11278
37470 steer -11516
37480 steer -12467
37490 steer -14610
37500 steer -17703
37510 steer -18416
37520 steer -23652
37540 steer -24128
37550 steer -35312
37560 steer -39832
37570 steer -43404
37580 steer -47924
37590 steer -53635
37600 steer -54111
37620 steer -61251
37630 steer -63869
37640 steer -63153
37650 steer -65295
37660 steer -65536
37810 steer -51971
37820 steer -65536
37830 steer -50542
37840 steer -40786
37850 steer -24365
37860 steer -21510
37870 steer -22223
37880 steer -21747
37890 steer -23890
37900 steer -28888
37910 steer -38644
37920 steer -41499
37930 steer -42450
37940 steer -43642
37950 steer -42213
37990 steer -51971
38000 steer -53397
38010 steer -62440
38020 steer -63869
38040 steer -65536
38250 steer -57682
38260 steer -51255
38270 steer -53160
38280 steer -56729
38290 steer -53160
38300 steer -52446
38310 steer -44593
38320 steer -54111
38330 steer -53397
38350 steer -53635
38360 steer -56491
38370 steer -62440
38380 steer -63869
38400 steer -65536
39080 steer -36739
39090 steer -14372
39100 steer 0
39110 steer 2476
39120 steer 16516
39130 steer 20323
39140 steer 25559
39150 steer 31508
39160 steer 50546
39170 steer 47928
39180 steer 64109
39190 steer 57684
39200 steer 56257
39210 steer 65536
39220-39390 press down
39230 steer 56495
39240 steer 65536
39310 steer 51735
39320 steer 36268
39330 steer 18421
39350 steer 0
39370 steer -7231
39380 steer -21034
39390 steer -23890
39410 steer -40786
39420 steer -50542
39430 steer -56015
39440 steer -62440
39450 steer -63153
39460 steer -63869
39470 steer -65536
39610-39680 press up
39740-40940 press up
39950 steer -58395
39970 steer -47686
39990 steer -50066
40000 steer -47924
40010 steer -49353
40030 steer -50066
40040 steer -49353
40050 steer -53635
40060 steer -54111
40070 steer -63153
40080 steer -64582
40090 steer -56729
40100 steer -62202
40110 steer -65536
40220 steer -49115
40240 steer -51017
40250 steer -54111
40250-40380 press down
40260 steer -55777
40270 steer -55540
40280 steer -62678
40290 steer -54826
40300 steer -65536
40440 steer -52446
40450 steer -63393
40460 steer -65536
40610-40680 press down
41010-41660 press up
41360 steer -62440
41370 steer -57442
41380 steer -48162
41390 steer -29601
41410 steer 0
41420 steer 2714
41430 steer 16041
41440 steer 31746
41450 steer 41504
41460 steer 47691
41470 steer 53640
41480 steer 55782
41490 steer 64109
41500 steer 65062
41520 steer 62444
41530 steer 36506
41540 steer 27701
41550 steer 18183
41560 steer 8187
41570 steer 0
41580 steer -6994
41600 steer -24365
41610 steer -37692
41620 steer -54586
41630 steer -63631
41640 steer -65536
41780 steer -41975
41800 steer 0
41810-44650 press up
41820 steer 4618
41830 steer 20561
41840 steer 28414
41850 steer 36981
41860 steer 49593
41870 steer 58638
41880 steer 54829
41890 steer 53402
41900 steer 61969
41910 steer 63395
41920 steer 65536
41970 steer 64349
41980 steer 43644
42000 steer 32221
42010 steer 36030
42020 steer 27463
42030 steer 12709
42040 steer 5331
42050 steer 0
42080 steer -5805
42090 steer -7231
42100 steer -10563
42110 steer -12943
42130 steer -14610
42210 steer -15323
42230 steer -18416
42240 steer -20083
42250 steer -23652
42270 steer -24841
42280 steer -31506
42290 steer -32932
42380 steer -32694
42390 steer -35075
42410 steer -36739
42420 steer -39595
42430 steer -41261
42440 steer -43879
42450 steer -46497
42460 steer -48637
42470 steer -51733
42480 steer -52446
42490 steer -53397
42520 steer -52684
42560 steer -53397
42570 steer -54348
42580 steer -56729
42590 steer -63869
42600 steer -58158
42610 steer -65536
43820 steer -55540
43830 steer -53873
43840 steer -25554
43850 steer -20321
43860 steer -7469
43870 steer 0
43890 steer 1049
43900 steer 2238
43920 steer 1287
44130 steer 0
44160 steer -6756
44180 steer -9374
44190 steer -11278
44200 steer -13418
44210 steer -14610
44220 steer -15323
44230 steer -18178
44240 steer -20083
44250 steer -20796
44260 steer -22223
44270 steer -22939
44320 steer -19605
44330 steer -14372
44340 steer 0
