0-7750 press up
13770 steer -1220
13780 steer -1476
13790 steer 18961
13800 steer 32078
13810 steer 52135
13820 steer 64885
13830 steer 64290
13840 steer 64186
13850 steer 64915
13860 steer 52566
13870 steer 64929
13880 steer 64749
13890 steer 63621
13900 steer -50981
13910 steer 30060
13920 steer 25523
13930 steer -16149
13940 steer 13834
13950 steer 20603
13960 steer 7710
13970 steer -21456
13980 steer 11332
13990 steer 31672
14000 steer -46017
14010 steer -19776
14020 steer -22620
14030 steer 32302
14040 steer 53789
14050 steer 26601
14060 steer -38146
14070 steer -43722
14080 steer -21858
14090 steer -38945
14100 steer 54322
14110 steer -1422
14120 steer 41311
14130 steer -9665
14140 steer -39887
14150 steer 36601
14160 steer 33479
14170 steer -13149
14180 steer 3125
14190 steer -9363
14200 steer 11170
14210 steer 14973
14220 steer 20343
14230 steer -50842
14240 steer 17406
14250 steer 10206
14260 steer -57866
14270 steer 28667
14280 steer 1401
14290 steer -80
14300 steer 3660
14310 steer -4294
14320 steer 5436
14330 steer 1259
14340 steer -5252
14350 steer 739
14360 steer -39970
14370 steer 32608
14380 steer 11440
14390 steer 14863
14400 steer 16765
14410 steer 10106
14420 steer 6270
14430 steer 30972
14440 steer 8443
14460 steer 11350
14470 steer 0
14830 steer -65536
15110-15120 press down
15130 steer -55414
15140 steer -65220
15150 steer -62310
15160 steer -65425
15170 steer -65193
15180 steer -60983
15190 steer -63921
15200 steer -57715
15210 steer -57730
15270 steer -64169
15280 steer -58381
15290 steer -64484
15300 steer -57007
15310 steer -55854
15320 steer -51841
15330 steer -53831
15340 steer -53429
15350 steer -54166
15360 steer -49762
15370 steer -58694
15380 steer -56908
15390 steer 14761
15400 steer -44365
15410 steer -56299
15420 steer -34112
15430 steer -49903
15440 steer -26048
15450 steer -47670
15460 steer -42676
15470 steer -46401
15480 steer -48380
15490 steer -34913
15500 steer -41592
15510 steer -54017
15520 steer -48196
15530 steer -43907
15540 steer -48221
15550 steer -57145
15560 steer -48380
15570 steer -45992
15580 steer -48380
15590 steer -46966
15600 steer -48380
15630 steer -48195
15640 steer -56521
15650 steer -48380
15660 steer 4025
15670 steer -37737
15680 steer -56326
15690 steer -48380
15700 steer -54022
15710 steer -48380
15720 steer -57790
15730 steer -30499
15740 steer -40589
15750 steer -56707
15760 steer -48380
15770 steer -47081
15780 steer -52052
15790 steer -48380
15800 steer -42534
15810 steer -56277
15820 steer -49744
15830 steer -48380
15840 steer -48112
15850 steer -42550
15860 steer -58068
15870 steer -55923
15880 steer -46375
15890 steer -48380
15900 steer -58568
15910 steer -48380
15930 steer -40844
15940 steer -47908
15950 steer -47714
15960 steer -56104
15970 steer -34427
15980 steer -47196
15990 steer -48380
16020 steer -45249
16030 steer -48380
16040 steer -50989
16050 steer -48380
16080 steer -47041
16090 steer -48380
16110 steer 16137
16120 steer -35311
16130 steer -48028
16140 steer -48380
16150 steer -50715
16160 steer -48008
16170 steer -48253
16180 steer -57663
16190 steer -19452
16200 steer -52547
16210 steer -52449
16220 steer -47060
16230 steer -40926
16240 steer -46467
16250 steer -47060
16270 steer -44957
16280 steer -47060
16290 steer -59963
16300 steer -15426
16310 steer -47060
16320 steer -43581
16330 steer -51849
16340 steer -47060
16350 steer -40866
16360 steer -50755
16370 steer -49065
16380 steer -47312
16390 steer -47060
16400 steer -56992
16410 steer 6643
16420 steer -43078
16430 steer -52205
16440 steer -47060
16460 steer -46996
16470 steer -47060
16480 steer -36128
16490 steer -47060
16500 steer -44145
16510 steer -39032
16520 steer -47060
16530 steer -46600
16540 steer -47060
16550 steer -54793
16560 steer -47060
16570 steer -56050
16580 steer -53298
16600 steer -42456
16610 steer -44381
16620 steer -46549
16630 steer -36685
16640 steer -38395
16650 steer -54515
16660 steer -42993
16670 steer -60713
16680 steer 32965
16690 steer -46549
16700 steer -54808
16710 steer -46549
16720 steer -54036
16730 steer 8447
16740 steer -44709
16750 steer -46549
16760 steer -31847
16770 steer -41341
16780 steer -46549
16790 steer -52003
16800 steer -24221
16810 steer -46549
16830 steer -51743
16840 steer -46549
16850 steer -45050
16860 steer -46474
16870 steer -52894
16880 steer 10199
16890 steer -45140
16900 steer -56695
16910 steer -46028
16920 steer -45140
16950 steer -38454
16960 steer -49596
16970 steer -44461
16980 steer -47876
16990 steer -45855
17000 steer -44209
17010 steer -45288
17020 steer -45855
17030 steer -46606
17040 steer 51966
17050 steer -49240
17060 steer -45855
17070 steer -45499
17080 steer -45855
17090 steer -47177
17100 steer -49173
17110 steer -45985
17130 steer -39003
17140 steer -42253
17150 steer -50242
17160 steer -45857
17170 steer -45290
17190 steer -39420
17200 steer -45290
17210 steer -56653
17220 steer -46259
17230 steer -60779
17240 steer -33749
17250 steer -44241
17260 steer 58531
17270 steer -60243
17280 steer -46857
17290 steer -42083
17300 steer -42435
17310 steer -45290
17320 steer -44587
17330 steer -37611
17340 steer -45290
17350 steer -44600
17360 steer -45290
17370 steer -59268
17380 steer -32695
17390 steer -40119
17400 steer -53217
17410 steer -52268
17420 steer -40495
17430 steer -45572
17440 steer -45290
17460 steer -46969
17470 steer -40060
17480 steer -45290
17490 steer -42896
17500 steer -45290
17510 steer -38873
17520 steer -48675
17530 steer -45290
17570 steer -50006
17580 steer -45290
17600 steer -23907
17610 steer -45290
17620 steer -38756
17630 steer -36279
17640 steer -65295
17650 steer -47842
17660 steer -46116
17670 steer -50561
17680 steer 11799
17690 steer -45290
17700 steer 6492
17710 steer -47269
17720 steer -45515
17730 steer -51977
17740 steer -36955
17750 steer -45290
17760 steer -11667
17770 steer -34969
17780 steer -52257
17790 steer -20959
17800 steer -43980
17810 steer -58014
17820 steer 2087
17830 steer -52724
17850 steer 48937
17870 steer 40971
17880 steer 53567
17890 steer 35066
17900 steer 24726
17910 steer 50753
17920 steer 40790
17930 steer 51088
17970 steer 6805
17980 steer 60681
17990 steer 61981
18010 steer 61541
18020 steer 61973
18030 steer 19751
18040 steer 30500
18050 steer -22644
18060 steer 36237
18070 steer 55952
18080 steer 44199
18090 steer -34919
18100 steer 52299
18110 steer 54650
18120 steer -1238
18130 steer 55925
18140 steer 56729
18150 steer 20006
18160 steer 24517
18170 steer 22875
18180 steer 40532
18190 steer 30230
18200 steer 3192
18210 steer -27491
18220 steer -6420
18250 steer -884
18260 steer -7712
18270 steer -1247
18300 steer -10890
18360 steer 5172
18370 steer -12485
18380 steer 6492
18390 steer 4751
18400 steer -7154
18410 steer 33714
18420 steer -3698
18430 steer 7091
18440 steer -18983
18450 steer 52051
18460 steer -1233
18470 steer -31122
18480 steer 16958
18490 steer 63628
18500 steer 8494
18510 steer 16903
18520 steer 3772
18530 steer 20656
18540 steer -43983
18550 steer 61539
18560 steer -4857
18570 steer 23673
18580 steer 55448
18590 steer 45605
18600 steer -53400
18610 steer -25792
18620 steer 11369
18630 steer 1569
18660 steer 7611
18670 steer 6625
18680 steer 20434
18690 steer 49179
18700 steer -22402
18710 steer 21195
18720 steer 24521
18730 steer 11935
18740 steer 64980
18750 steer 32990
18760 steer -8823
18770 steer 30409
18780 steer 29287
18790 steer 719
18800 steer 63736
18810 steer 49583
18820 steer 40514
18830 steer 10995
18840 steer 52826
18850 steer 64578
18860 steer 30008
18870 steer 26961
18880 steer -32444
18890 steer 49227
18900 steer 9666
18910 steer -17135
18920 steer 15833
18930 steer 65047
18940 steer 55787
18950 steer 57839
18970 steer 44824
18980 steer 55205
18990 steer 57839
19000 steer 42112
19010 steer 57839
19020 steer 52186
19030 steer 61947
19060 steer 26243
19070 steer 40208
19080 steer 55496
19090 steer -38950
19100 steer 4873
19120 steer 13877
19130 steer 57159
19140 steer -13508
19150 steer -16668
19160 steer -41402
19170 steer -36167
19180 steer -23196
19190 steer -45356
19200 steer -23347
19210-19250 press left
19210 steer -46458
19230 steer -57231
19240 steer -59921
19250 steer -64896
19260 steer 3293
19270 steer -61683
19280 steer -62551
19290 steer -20503
19300-19330 press left
19300 steer -32605
19310 steer -45111
19320 steer -59852
19330 steer -27801
19340 steer -8507
19350 steer -33470
19360 steer 45314
19370 steer 30368
19380 steer 10004
19390 steer 48233
19400-19410 press left
19400 steer 14873
19410 steer 9454
19420 steer 36677
19430 steer 9191
19440 steer 51063
19450 steer 28610
19460 steer 57995
19470 steer 18218
19480 steer 4696
19490 steer 32132
19500 steer 39884
19510 steer 8129
19520 steer 12793
19550 steer 7407
19560 steer 5109
19570 steer 2294
19580 steer 53828
19590 steer 27282
19600 steer 29185
19610 steer 35897
20000-20250 press down
